batch,chunk_id,sentences_produced,flagged,reason
1,index_56,1,True,NLI Score 0.464
1,index_41,1,False,Accepted
1,index_142,1,False,Accepted
1,index_59,3,True,NLI Score 0.352
1,index_58,1,False,Accepted
1,index_2,1,True,NLI Score 0.067
1,index_11,1,True,NLI Score 0.787
1,index_21,1,True,NLI Score 0.199
1,index_28,1,False,Accepted
1,index_14,1,True,NLI Score 0.408
1,index_160,1,True,NLI Score 0.806
1,index_149,1,True,NLI Score 0.736
1,index_1,1,False,Accepted
1,index_87,4,True,NLI Score 0.168
1,parliament_bill_act_नेपाल_सरकारको_अर्थ_सम्बन्धी_प्रस्तावलाई_कार्ाथन्वर्न_गनथ_बनेको_ववधेर्क_प्रस्तावना_नेपाल_सरकारको_आर्र_573,2,False,Accepted
1,index_141,1,True,NLI Score 0.288
1,index_109,1,True,NLI Score 0.636
1,index_51,2,True,NLI Score 0.571
1,index_6,1,False,Accepted
1,index_134,1,False,Accepted
1,index_14,1,False,Accepted
1,index_94,1,True,NLI Score 0.354
1,index_113,1,False,Accepted
1,index_157,1,True,NLI Score 0.244
1,index_55,1,False,Accepted
1,index_147,1,True,NLI Score 0.806
1,index_80,1,False,Accepted
1,index_53,1,True,NLI Score 0.720
1,index_86,2,True,NLI Score 0.324
1,index_140,1,True,NLI Score 0.710
1,index_125,1,True,NLI Score 0.835
1,index_92,1,False,Accepted
1,index_21,1,False,Accepted
1,index_122,1,False,Accepted
1,index_105,2,True,NLI Score 0.636
1,index_28,1,True,NLI Score 0.043
1,index_89,1,True,NLI Score 0.664
1,index_61,1,False,Accepted
1,index_116,1,True,NLI Score 0.318
1,index_13,1,False,Accepted
1,index_45,1,True,NLI Score 0.259
1,index_106,1,True,NLI Score 0.606
1,index_48,1,True,NLI Score 0.783
1,index_6,1,True,NLI Score 0.375
1,index_123,1,True,NLI Score 0.675
1,supreme_court_verdict_d09110e05e3a2752a3b927e6f15d2146_pdf_61139f_54,2,False,Accepted
1,index_124,2,True,NLI Score 0.341
1,parliament_bill_act_संवत्_२०७९_सालको_ऐन_नं_नेपाल_इन्जिननयरिङ_परिषद्_ऐन_२०५५_लाई_संशोधन_गनन_बनेको_ववधेयक_प्रस्तावना_नेपाल_26,2,False,Accepted
1,index_83,1,True,NLI Score 0.441
1,index_6,1,True,NLI Score 0.849
2,index_119,1,False,Accepted
2,index_3,1,True,NLI Score 0.839
2,index_94,1,True,NLI Score 0.434
2,index_38,1,True,NLI Score 0.556
2,index_112,1,False,Accepted
2,sc_verdict_2815284e_d57f1efa934ada7bdb31893bf2087bf8_15,2,False,Accepted
2,index_77,1,False,Accepted
2,index_63,0,True,Duplicate QA Pair
2,index_34,1,False,Accepted
2,parliament_bill_act_संवत्_२०७९_सालको_ऐन_नं_फौजदारी_कसूर_तथा_फौजदारी_कार्यववधि_सम्बन्िी_केही_ऐनलाई_संशोिन_गनय_बनेको_वविेर_1,0,True,Duplicate QA Pair
2,index_163,1,False,Accepted
2,index_145,1,False,Accepted
2,supreme_court_verdict_246bf11177938960a050be0e0dbd6381_pdf_dc9ec2_7,2,False,Accepted
2,index_1,1,True,NLI Score 0.773
2,index_126,1,True,NLI Score 0.742
2,index_57,2,False,Accepted
2,parliament_bill_act_संवत्_२०८३_सालको_ऐन_नं_नेपाल_सरकारको_अर्थसम्बन्धी_प्रस्तावलाई_कार्ाथन्वर्न_गनथ_बनेको_ववधेर्क_प्रस्ता_1150,2,False,Accepted
2,parliament_bill_act_विधेयकमा_प्राप्त_संशोधन_प्रस्तािहरु_प्रतततनतध_सभा_तनयमािली_२०७९_को_तनयम_११४_सँग_सम्बन्धधत_विधेयकको_न_14_1256,2,False,Accepted
2,index_87,1,False,Accepted
2,index_121,1,True,NLI Score 0.518
2,index_39,1,True,NLI Score 0.744
2,index_74,1,False,Accepted
2,index_88,1,True,NLI Score 0.821
2,parliament_bill_act_विधेमकभा_प्राप्त_सॊशोधन_प्रस्तािहरु_प्रतततनतध_सबा_तनमभािरी_२०७९_को_तनमभ_११४_सॉग_सम्फन्धधत_विधेमकको_न_2_273,2,False,Accepted
2,index_155,1,False,Accepted
2,index_13,1,True,NLI Score 0.417
2,law_commission_act_rule_www_lawcomission_gov_np_कानूनी_सूक्तिहरू_ल्याटिन_अंग्रेजी_तथा_नेपाली_legal_maxims_480,0,True,Duplicate QA Pair
2,index_78,1,False,Accepted
2,index_85,1,True,NLI Score 0.513
2,parliament_bill_act_विधेयकमा_प्राप्त_संशोधन_प्रस्तािहरु_प्रतततनतध_सभा_तनयमािली_२०७९_को_तनयम_११४_सँग_सम्बन्धधत_विधेयकको_न_14_1380,0,True,Duplicate QA Pair
2,parliament_bill_act_विधेयकमा_प्राप्त_संशोधन_प्रस्तािहरु_प्रतततनतध_सभा_तनयमािली_२०७९_को_तनयम_११४_सँग_सम्बन्धधत_विधेयकको_न_15_34,2,False,Accepted
2,index_74,2,False,Accepted
2,index_11,1,False,Accepted
2,index_54,1,False,Accepted
2,index_137,1,False,Accepted
2,parliament_bill_act_भन्सार_महसुल_सम्बन्धी_कानूनलाई_संशोधन_र_एकीकरण_गनन_बनेको_विधेयक_प्रस्तािना_नेपालबाट_ननकासी_हुने_र_ने_80,2,False,Accepted
2,index_2,1,False,Accepted
2,index_41,1,True,NLI Score 0.844
2,index_82,1,False,Accepted
2,index_21,1,False,Accepted
2,index_11,1,False,Accepted
2,index_1,1,False,Accepted
2,index_48,1,False,Accepted
2,index_92,1,True,NLI Score 0.208
2,index_38,1,True,NLI Score 0.777
2,index_90,2,True,NLI Score 0.734
2,index_81,1,True,NLI Score 0.692
2,supreme_court_verdict_precedent_supreme_court_judgment_precedent_5d999ef_55,0,True,Duplicate QA Pair
2,index_150,1,True,NLI Score 0.820
